t_name,t_id,t_starttime,t_slug,entrant_count,p_name,p_id,p_standing
Bracket About Nothing #34 - Beginners Only GGST,569665,1689724800,tournament/bracket-about-nothing-34-beginners-only-ggst,50,SimplyRift,2810519,49
Bracket About Nothing #34 - Beginners Only GGST,569665,1689724800,tournament/bracket-about-nothing-34-beginners-only-ggst,50,Volgorath,3193691,17
Bracket About Nothing #34 - Beginners Only GGST,569665,1689724800,tournament/bracket-about-nothing-34-beginners-only-ggst,50,KosmEnjoyer,3190816,25
Bracket About Nothing #34 - Beginners Only GGST,569665,1689724800,tournament/bracket-about-nothing-34-beginners-only-ggst,50,CoffeeFields101,1364736,25
Bracket About Nothing #34 - Beginners Only GGST,569665,1689724800,tournament/bracket-about-nothing-34-beginners-only-ggst,50,Bucky,3353415,33
Bracket About Nothing #34 - Beginners Only GGST,569665,1689724800,tournament/bracket-about-nothing-34-beginners-only-ggst,50,OEG | Westfield,2879315,33
Bracket About Nothing #34 - Beginners Only GGST,569665,1689724800,tournament/bracket-about-nothing-34-beginners-only-ggst,50,Deceptionz,3530603,17
Bracket About Nothing #34 - Beginners Only GGST,569665,1689724800,tournament/bracket-about-nothing-34-beginners-only-ggst,50,Xzealio,2962695,2
Bracket About Nothing #34 - Beginners Only GGST,569665,1689724800,tournament/bracket-about-nothing-34-beginners-only-ggst,50,HCHY | Bunny,3355274,17
Bracket About Nothing #34 - Beginners Only GGST,569665,1689724800,tournament/bracket-about-nothing-34-beginners-only-ggst,50,MØN | Intimidaving,1266480,5
Bracket About Nothing #34 - Beginners Only GGST,569665,1689724800,tournament/bracket-about-nothing-34-beginners-only-ggst,50,Chistaphee,2152403,13
Bracket About Nothing #34 - Beginners Only GGST,569665,1689724800,tournament/bracket-about-nothing-34-beginners-only-ggst,50,Based Dept.,3513023,33
Bracket About Nothing #34 - Beginners Only GGST,569665,1689724800,tournament/bracket-about-nothing-34-beginners-only-ggst,50,Maccaoiato,3498757,33
Bracket About Nothing #34 - Beginners Only GGST,569665,1689724800,tournament/bracket-about-nothing-34-beginners-only-ggst,50,Noostrul,3488912,9
Bracket About Nothing #34 - Beginners Only GGST,569665,1689724800,tournament/bracket-about-nothing-34-beginners-only-ggst,50,Artagan,3409448,17
Bracket About Nothing #34 - Beginners Only GGST,569665,1689724800,tournament/bracket-about-nothing-34-beginners-only-ggst,50,Tsumi,3072760,33
Bracket About Nothing #34 - Beginners Only GGST,569665,1689724800,tournament/bracket-about-nothing-34-beginners-only-ggst,50,Cata,2696479,3
Bracket About Nothing #34 - Beginners Only GGST,569665,1689724800,tournament/bracket-about-nothing-34-beginners-only-ggst,50,BBB | mads,1285067,17
Bracket About Nothing #34 - Beginners Only GGST,569665,1689724800,tournament/bracket-about-nothing-34-beginners-only-ggst,50,BlackYoshi,463350,25
Bracket About Nothing #34 - Beginners Only GGST,569665,1689724800,tournament/bracket-about-nothing-34-beginners-only-ggst,50,Sleepy | shadowgeko,2119299,5
Bracket About Nothing #34 - Beginners Only GGST,569665,1689724800,tournament/bracket-about-nothing-34-beginners-only-ggst,50,F444 | Fyre,3466768,17
Bracket About Nothing #34 - Beginners Only GGST,569665,1689724800,tournament/bracket-about-nothing-34-beginners-only-ggst,50,TREE | Adyune,3464225,9
Bracket About Nothing #34 - Beginners Only GGST,569665,1689724800,tournament/bracket-about-nothing-34-beginners-only-ggst,50,Ihatelolis7434,2676416,17
Bracket About Nothing #34 - Beginners Only GGST,569665,1689724800,tournament/bracket-about-nothing-34-beginners-only-ggst,50,BorgTech | Shimkoko,405647,25
Bracket About Nothing #34 - Beginners Only GGST,569665,1689724800,tournament/bracket-about-nothing-34-beginners-only-ggst,50,DoomedDragon,3433919,33
Bracket About Nothing #34 - Beginners Only GGST,569665,1689724800,tournament/bracket-about-nothing-34-beginners-only-ggst,50,HeadChef,3324876,33
Bracket About Nothing #34 - Beginners Only GGST,569665,1689724800,tournament/bracket-about-nothing-34-beginners-only-ggst,50,Rebellious Ragğer,1143701,1
Bracket About Nothing #34 - Beginners Only GGST,569665,1689724800,tournament/bracket-about-nothing-34-beginners-only-ggst,50,JDA,2696670,7
Bracket About Nothing #34 - Beginners Only GGST,569665,1689724800,tournament/bracket-about-nothing-34-beginners-only-ggst,50,BurnsideEX,1345600,33
Bracket About Nothing #34 - Beginners Only GGST,569665,1689724800,tournament/bracket-about-nothing-34-beginners-only-ggst,50,WCNoisyboy,3452841,4
Bracket About Nothing #34 - Beginners Only GGST,569665,1689724800,tournament/bracket-about-nothing-34-beginners-only-ggst,50,Sleepy | AlexIsSleepy,2042141,13
Bracket About Nothing #34 - Beginners Only GGST,569665,1689724800,tournament/bracket-about-nothing-34-beginners-only-ggst,50,Sefferton,3490738,25
Bracket About Nothing #34 - Beginners Only GGST,569665,1689724800,tournament/bracket-about-nothing-34-beginners-only-ggst,50,BED WITH NO MAN,3433538,13
Bracket About Nothing #34 - Beginners Only GGST,569665,1689724800,tournament/bracket-about-nothing-34-beginners-only-ggst,50,rkp!,3358407,33
Bracket About Nothing #34 - Beginners Only GGST,569665,1689724800,tournament/bracket-about-nothing-34-beginners-only-ggst,50,BAN | WhileYouWait,2532564,7
Bracket About Nothing #34 - Beginners Only GGST,569665,1689724800,tournament/bracket-about-nothing-34-beginners-only-ggst,50,C&C | Solric,3214072,33
Bracket About Nothing #34 - Beginners Only GGST,569665,1689724800,tournament/bracket-about-nothing-34-beginners-only-ggst,50,RazelRhapsody,3248207,9
Bracket About Nothing #34 - Beginners Only GGST,569665,1689724800,tournament/bracket-about-nothing-34-beginners-only-ggst,50,Sergeant Balls,3019547,13
Bracket About Nothing #34 - Beginners Only GGST,569665,1689724800,tournament/bracket-about-nothing-34-beginners-only-ggst,50,Tiro,3175341,25
Bracket About Nothing #34 - Beginners Only GGST,569665,1689724800,tournament/bracket-about-nothing-34-beginners-only-ggst,50,PlutoJr,2433192,33
Bracket About Nothing #34 - Beginners Only GGST,569665,1689724800,tournament/bracket-about-nothing-34-beginners-only-ggst,50,MoistBard,3502063,33
Bracket About Nothing #34 - Beginners Only GGST,569665,1689724800,tournament/bracket-about-nothing-34-beginners-only-ggst,50,Grimm,3490744,25
Bracket About Nothing #34 - Beginners Only GGST,569665,1689724800,tournament/bracket-about-nothing-34-beginners-only-ggst,50,Goteki_,648304,33
